"","country","total","pctOfApps"
"1","US",228656,86.19
"2","CN",9578,3.61
"3","RU",5290,1.99
"4","DE",3705,1.4
"5","SG",2866,1.08
"6","NO",2288,0.86
"7","UK",2144,0.81
"8","KR",795,0.3
"9","AT",748,0.28
"10","JP",272,0.1
"11","DK",27,0.01
"12","IT",15,0.01
"13","SE",18,0.01
"14","CA",3,0
"15","CR",2,0
"16","ES",1,0
"17","FR",8,0
"18","IE",7,0
"19","IL",5,0
"20","IN",9,0
"21","NL",4,0
"22","PL",11,0
"23","TW",2,0
