"","country","total","pctOfApps"
"1","US",270157,92.53
"2","NO",21238,7.27
"3","CN",17341,5.94
"4","DE",12445,4.26
"5","SG",9944,3.41
"6","RU",7754,2.66
"7","UK",4162,1.43
"8","KR",1386,0.47
"9","JP",1241,0.43
"10","AT",1097,0.38
"11","DK",18,0.01
"12","PL",43,0.01
"13","AU",2,0
"14","CA",2,0
"15","ES",4,0
"16","FR",3,0
"17","IE",5,0
"18","IL",12,0
"19","IN",6,0
"20","NL",6,0
"21","RO",8,0
"22","SE",3,0
