"","country","trackers"
"1","United States of America",865369
"2","China",48451
"3","Norway",30674
"4","Russia",24889
"5","Germany",24773
"6","Singapore",19323
"7","United Kingdom",14451
"8","Austria",4754
"9","South Korea",3366
"10","Japan",1801
"11","Poland",132
"12","Denmark",77
"13","Canada",53
"14","France",41
"15","India",29
"16","Sweden",29
"17","Israel",23
"18","Netherlands",22
"19","Romania",21
"20","Ireland",18
